date,Open,High,Low,Close,logret
2022-12-18,16777.54,16863.26,16663.07,16738.21,-0.0022861599473239873
2022-12-19,16739.0,16815.99,16256.3,16438.88,-0.018044869047170384
2022-12-20,16438.88,17061.27,16397.2,16895.56,0.027401604731458414
2022-12-21,16896.15,16925.0,16723.0,16824.67,-0.004204603849787203
2022-12-22,16824.68,16868.52,16559.85,16821.43,-0.00019259290140687945
2022-12-23,16821.9,16955.14,16731.13,16778.5,-0.002555363857047274
2022-12-24,16778.52,16869.99,16776.62,16836.12,0.003428273556819251
2022-12-25,16835.73,16857.96,16721.0,16832.11,-0.00023820676162420736
2022-12-26,16832.11,16944.52,16791.0,16919.39,0.005171929813683699
2022-12-27,16919.39,16972.83,16592.37,16706.36,-0.01267081627317635
2022-12-28,16706.06,16785.19,16465.33,16547.31,-0.00956593439752758
2022-12-29,16547.32,16664.41,16488.91,16633.47,0.005193379640446887
2022-12-30,16633.47,16677.35,16333.0,16607.48,-0.0015637342071172207
2022-12-31,16607.48,16644.09,16470.0,16542.4,-0.003926414431065476
2023-01-01,16541.77,16628.0,16499.01,16616.75,0.004484440922006132
2023-01-02,16617.17,16799.23,16548.7,16672.87,0.00337162473850112
2023-01-03,16672.78,16778.4,16605.28,16675.18,0.00013853883532594145
2023-01-04,16675.65,16991.87,16652.66,16850.36,0.010450635209181243
2023-01-05,16850.36,16879.82,16753.0,16831.85,-0.0010990966366733739
2023-01-06,16831.85,17041.0,16679.0,16950.65,0.007033256255153627
2023-01-07,16950.31,16981.91,16908.0,16943.57,-0.0004177703515806188
2023-01-08,16943.83,17176.99,16911.0,17127.83,0.010816215147354305
2023-01-09,17127.83,17398.8,17104.66,17178.26,0.0029400048985379155
2023-01-10,17179.04,17499.0,17146.34,17440.66,0.015159630933365425
2023-01-11,17440.64,18000.0,17315.6,17943.26,0.02841029515457346
2023-01-12,17943.26,19117.04,17892.05,18846.62,0.04911903051513352
2023-01-13,18846.62,20000.0,18714.12,19930.01,0.055893048509553726
2023-01-14,19930.01,21258.0,19888.05,20954.92,0.050146827684418194
2023-01-15,20952.76,21050.74,20551.01,20871.5,-0.003988871656173911
2023-01-16,20872.99,21474.05,20611.48,21185.65,0.014939473685250641
2023-01-17,21185.65,21647.45,20841.31,21134.81,-0.0024026215431750143
2023-01-18,21132.29,21650.0,20407.15,20677.47,-0.021876742420547574
2023-01-19,20677.47,21192.0,20659.19,21071.59,0.018880985981668756
2023-01-20,21071.59,22755.93,20861.28,22667.21,0.0729936990967774
2023-01-21,22666.0,23371.8,22422.0,22783.55,0.0051193975233281225
2023-01-22,22783.35,23078.71,22292.37,22707.88,-0.0033267835189935463
2023-01-23,22706.02,23180.0,22500.0,22916.45,0.009142992475145141
2023-01-24,22917.81,23162.2,22462.93,22632.89,-0.012450835212587299
2023-01-25,22631.94,23816.73,22300.0,23060.94,0.018736119160646474
2023-01-26,23060.42,23282.47,22850.01,23009.65,-0.0022265840828143047
2023-01-27,23009.65,23500.0,22534.88,23074.16,0.0027996835390564157
2023-01-28,23074.16,23189.0,22878.46,23022.6,-0.002237034511835935
2023-01-29,23021.4,23960.54,22967.76,23742.3,0.03078192520585222
2023-01-30,23743.37,23800.51,22500.0,22826.15,-0.0393514588233174
2023-01-31,22827.38,23320.0,22714.77,23125.13,0.013013096440887308
2023-02-01,23125.13,23812.66,22760.23,23732.66,0.025932253556535844
2023-02-02,23731.41,24255.0,23363.27,23488.94,-0.010322486493569127
2023-02-03,23489.33,23715.7,23204.62,23431.9,-0.002431330219096245
2023-02-04,23431.9,23587.78,23253.96,23326.84,-0.004493712909870792
2023-02-05,23327.66,23433.33,22743.0,22932.91,-0.017031632139821246
2023-02-06,22932.91,23158.25,22628.13,22762.52,-0.007457673107036351
2023-02-07,22762.52,23350.25,22745.78,23240.46,0.020779401555923737
2023-02-08,23242.42,23452.0,22665.85,22963.0,-0.01201050031064175
